MLA Name,Age,Constituency,Gender,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Phool Singh Baraiya,Info Not Available,Bhander,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,100,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Phool Singh Baraiya.jpg
Mohan Sharma,Info Not Available,Narsinghgarh,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,32,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Mohan Sharma.jpg
Tejbahadur Singh Chauhan,Info Not Available,Nagada-Khachrod,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,87,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Tejbahadur Singh Chauhan.jpg
Vikrant Bhuria,Info Not Available,Jhabua,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,114,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Vikrant Bhuria.jpg
Chintamani Malviya,Info Not Available,Alot,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,61,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Chintamani Malviya.jpg
Kalusingh Thakur,Info Not Available,Dharampuri,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,122,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Kalusingh Thakur.jpg
Ramakant Bhargava,Info Not Available,Budhni,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-13,In Office,,,1,35.88832487,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Ramakant Bhargava.jpg
Umadevi Lalchand Khatik,Info Not Available,Hatta,Female,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,17,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Umadevi Lalchand Khatik.jpg
Chandar Singh Sisodiya,Info Not Available,Garoth,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,85,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Chandar Singh Sisodiya.jpg
Engineer Narendra Prajapati,Info Not Available,Mangawan,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,7,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Engineer Narendra Prajapati.jpg
Lalita Yadav,Info Not Available,Chhatarpur,Female,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,52,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Lalita Yadav.jpg
Khatik Harishankar,Info Not Available,Jatara,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,141,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Khatik Harishankar.jpg
Panna Lal Shakya,Info Not Available,Guna,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,28,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Panna Lal Shakya.jpg
Atif Arif Aqueel,Info Not Available,Bhopal Uttar,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,151,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Atif Arif Aqueel.jpg
Chandrashekhar Deshmukh,Info Not Available,Multai,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,45,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Chandrashekhar Deshmukh.jpg
Veersingh Bhuriya,Info Not Available,Thandla,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,29,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Veersingh Bhuriya.jpg
Ajay Arjun Singh,Info Not Available,Churhat,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,57,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Ajay Arjun Singh.jpg
Shivnarayan Gyan Singh (Lallu Bhaiya),Info Not Available,Bandhavgarh,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,5,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Shivnarayan Gyan Singh (Lallu Bhaiya).jpg
Vivek Vicky Patel,Info Not Available,Waraseoni,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,77,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Vivek Vicky Patel.jpg
Neelesh Pusaram Uikey,Info Not Available,Pandhurna,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,63,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Neelesh Pusaram Uikey.jpg
Siddharth Tiwari 'Raj',Info Not Available,Teonthar,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,12,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Siddharth Tiwari 'Raj'.jpg
Veerendra Singh Lodhi,Info Not Available,Banda,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,67,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Veerendra Singh Lodhi.jpg
Anil Jain Kaluheda,Info Not Available,Ujjain North,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,25,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Anil Jain Kaluheda.jpg
Sahab Singh Gurjar,Info Not Available,Gwalior Rural,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,21,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sahab Singh Gurjar.jpg
Khatik Ramesh Prasad,Info Not Available,Karera,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,46,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Khatik Ramesh Prasad.jpg
Rajendra Meshram,Info Not Available,Devsar,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,6,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Rajendra Meshram.jpg
Rajan Mandloi,Info Not Available,Badwani,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,94,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Rajan Mandloi.jpg
Omprakash Dhurwey,Info Not Available,Shahpura,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,33,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Omprakash Dhurwey.jpg
Kamakhya Pratap Singh (Teeka Raja),Info Not Available,Maharajpur,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,47,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Kamakhya Pratap Singh (Teeka Raja).jpg
Neeraj Singh Thakur,Info Not Available,Bargi,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,118,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Neeraj Singh Thakur.jpg
Sushil Kumar Tiwari (Indu Bhaiya),Info Not Available,Panagar,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,100,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sushil Kumar Tiwari (Indu Bhaiya).jpg
Madhav Singh (Madhu Gehlot),Info Not Available,Agar,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,36,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Madhav Singh (Madhu Gehlot).jpg
Yogendra Singh Baba,Info Not Available,Lakhnadon,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,100,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Yogendra Singh Baba.jpg
Chanda Surendra Singh Gour,Info Not Available,Khargapur,Female,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,120,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Chanda Surendra Singh Gour.jpg
Baghel Surendra Singh Honey,Info Not Available,Kukshi,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,104,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Baghel Surendra Singh Honey.jpg
Kamleshwar Dodiyar,Info Not Available,Sailana,Male,Bharat Adivasi Party,Elected,Graduate,2023-12-03,In Office,,,136,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Kamleshwar Dodiyar.jpg
Hemant Satyadev Katare,Info Not Available,Ater,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,152,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Hemant Satyadev Katare.jpg
Satish Malviya,Info Not Available,Ghatiya,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,116,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Satish Malviya.jpg
Satish Sikarwar,Info Not Available,Gwalior East,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,98,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Satish Sikarwar.jpg
Sena - Mahesh Patel,Info Not Available,Jobat,Female,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,59,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sena - Mahesh Patel.jpg
Abhay Mishra,Info Not Available,Semariya,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,137,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Abhay Mishra.jpg
Yadvendra Singh (Jaggu Bhaiya),Info Not Available,Tikamgarh,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,130,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Yadvendra Singh (Jaggu Bhaiya).jpg
"Brijbihari Pateriya ""Gudda Bhaiya""",Info Not Available,Deori,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,72,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,"Brijbihari Pateriya ""Gudda Bhaiya"".jpg"
Arun Bhimawad,Info Not Available,Shajapur,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,45,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Arun Bhimawad.jpg
Devendra Patel,Info Not Available,Silwani,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,128,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Devendra Patel.jpg
Chainsingh Warkade,Info Not Available,Niwas,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,45,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Chainsingh Warkade.jpg
Rajesh Kumar Verma,Info Not Available,Gunnaor,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,91,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Rajesh Kumar Verma.jpg
Bharti Rajendra,Info Not Available,Datia,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,144,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Bharti Rajendra.jpg
"Bhanwarsingh Shekhawat ""Babu Ji""",Info Not Available,Badnawar,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,55,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,"Bhanwarsingh Shekhawat ""Babu Ji"".jpg"
Preetam Lodhi,Info Not Available,Pichhore,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,31,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Preetam Lodhi.jpg
Vikram Singh (Vicky),Info Not Available,Rampur-Baghelan,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,6,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Vikram Singh (Vicky).jpg
Hemant Vijay Khandelwal,Info Not Available,Betul,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,45,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Hemant Vijay Khandelwal.jpg
Bahin Ramsiya Bharti,Info Not Available,Malhara,Female,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,108,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Bahin Ramsiya Bharti.jpg
Devendra Ramnarayan Sakhwar,Info Not Available,Ambah,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,127,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Devendra Ramnarayan Sakhwar.jpg
Sita Saran Sharma,Info Not Available,Hoshangabad,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,106,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sita Saran Sharma.jpg
Jagannath Singh Raghuwanshi,Info Not Available,Chanderi,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,93,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Jagannath Singh Raghuwanshi.jpg
Dinesh Rai Munmun,Info Not Available,Seoni,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,110,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Dinesh Rai Munmun.jpg
Mathura Lal Damar,Info Not Available,Ratlam Rural,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,16,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Mathura Lal Damar.jpg
Dinesh Gurjar,Info Not Available,Morena,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,120,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Dinesh Gurjar.jpg
Shyam Barde,Info Not Available,Pansemal,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,5,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Shyam Barde.jpg
Vipin Jain,Info Not Available,Mandsour,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,159,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Vipin Jain.jpg
"Bhairon Singh ""Bapu""",Info Not Available,Susner,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,72,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,"Bhairon Singh ""Bapu"".jpg"
Manoj Narayansingh Choudhari,Info Not Available,Hatpipliya,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,32,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Manoj Narayansingh Choudhari.jpg
Mukesh Tandan,Info Not Available,Vidisha,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,18,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Mukesh Tandan.jpg
Abhilash Pandey,Info Not Available,Jabalpur North,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,119,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Abhilash Pandey.jpg
Aniruddha (Madhav) Maroo,Info Not Available,Manasa,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,36,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Aniruddha (Madhav) Maroo.jpg
Dinesh Jain Boss,Info Not Available,Mahidpur,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,131,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Dinesh Jain Boss.jpg
Amar Singh Yadav,Info Not Available,Rajgarh,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,100,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Amar Singh Yadav.jpg
Bhoopendra Singh,Info Not Available,Khurai,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,56,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Bhoopendra Singh.jpg
Premshankar Kunjilal Verma,Info Not Available,Seoni-Malwa,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,64,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Premshankar Kunjilal Verma.jpg
Montu Solanki,Info Not Available,Sendhwa,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,109,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Montu Solanki.jpg
Thakurdas Nagwanshi,Info Not Available,Pipariya,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,45,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Thakurdas Nagwanshi.jpg
Pankaj Upadhyay,Info Not Available,Jaura,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,146,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Pankaj Upadhyay.jpg
Rishi Agrawal,Info Not Available,Bamori,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,25,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Rishi Agrawal.jpg
Ramkishore Dogne,Info Not Available,Harda,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,104,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Ramkishore Dogne.jpg
Chaya More,Info Not Available,Pandhana,Female,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,19,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Chaya More.jpg
Shrikant Chaturvedi,Info Not Available,Maihar,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,92,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Shrikant Chaturvedi.jpg
Rajkumar Karrahe,Info Not Available,Lanji,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,8,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Rajkumar Karrahe.jpg
Nirmla Sapre,Info Not Available,Bina,Female,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,50,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Nirmla Sapre.jpg
"Rajendra Pandey ""Raju Bhaiya""",Info Not Available,Jaora,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,157,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,"Rajendra Pandey ""Raju Bhaiya"".jpg"
Devendra Kumar Jain 'Patte Wale',Info Not Available,Shivpuri,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,60,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Devendra Kumar Jain 'Patte Wale'.jpg
Riti Pathak,Info Not Available,Sidhi,Female,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,55,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Riti Pathak.jpg
Pranay Prabhat Pandey (Guddu Bhaiya),Info Not Available,Bahoriband,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,92,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Pranay Prabhat Pandey (Guddu Bhaiya).jpg
Suresh Raje,Info Not Available,Dabra,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,119,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Suresh Raje.jpg
Shalendra Kumar Jain,Info Not Available,Sagar,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,76,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Shalendra Kumar Jain.jpg
Rajesh Sonkar,Info Not Available,Sonkatch,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,66,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Rajesh Sonkar.jpg
Rajendra Kumar Singh,Info Not Available,Amarpatan,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,105,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Rajendra Kumar Singh.jpg
Mukesh Malhotra,Info Not Available,Vijaypur,Male,Indian National Congress,Elected,Post Graduate,2024-11-13,In Office,,,30,35.88832487,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Mukesh Malhotra.jpg
Dung Hardeepsingh,Info Not Available,Suwasra,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,90,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Dung Hardeepsingh.jpg
Priyanka Penchi,Info Not Available,Chachoura,Female,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,61,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Priyanka Penchi.jpg
Pradeep Agrawal,Info Not Available,Sewda,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,72,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Pradeep Agrawal.jpg
Santosh Varkade,Info Not Available,Sihora,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,5,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Santosh Varkade.jpg
Ram Niwas Shah,Info Not Available,Singrauli,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,11,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Ram Niwas Shah.jpg
Manoj Nirbhay Singh Patel,Info Not Available,Depalpur,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,3,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Manoj Nirbhay Singh Patel.jpg
Golu Shukla Rakesh,Info Not Available,Indore-3,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,22,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Golu Shukla Rakesh.jpg
Arvind Pateriya,Info Not Available,Rajnagar,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,19,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Arvind Pateriya.jpg
Surendra Singh Gaharwar,Info Not Available,Chitrakoot,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,63,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Surendra Singh Gaharwar.jpg
Abhijeet Shah (Ankit Baba),Info Not Available,Timarni,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,118,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Abhijeet Shah (Ankit Baba).jpg
Nitendra Brajendra Singh Rathore,Info Not Available,Prithvipur,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,55,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Nitendra Brajendra Singh Rathore.jpg
Mahendra Ramsingh Yadav Khatora,Info Not Available,Kolaras,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,46,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Mahendra Ramsingh Yadav Khatora.jpg
Gopal Singh Engineer,Info Not Available,Ashta,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,29,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Gopal Singh Engineer.jpg
"Vishwanath Singh ""Mulam Bhaiya""",Info Not Available,Tendukheda,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,1,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,"Vishwanath Singh ""Mulam Bhaiya"".jpg"
Anubha Munjare,Info Not Available,Balaghat,Female,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,118,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Anubha Munjare.jpg
Haribaboo Rai,Info Not Available,Ashok Nagar,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,56,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Haribaboo Rai.jpg
