MLA Name,Age,Constituency,Gender,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Narayan Singh Patta,53,Bichhiya,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,145,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Narayan Singh Patta.jpg
Dilip Singh Parihar,67,Neemuch,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,156,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Dilip Singh Parihar.jpg
Vishnu Khatri,53,Berasia,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,24,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Vishnu Khatri.jpg
Vijay Revnath Chore,53,Saunsar,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,84,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Vijay Revnath Chore.jpg
Yogesh Pandagre,48,Amla,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,33,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Yogesh Pandagre.jpg
Sanjay Satyendra Pathak,55,Vijayraghavgarh,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,49,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sanjay Satyendra Pathak.jpg
Sudesh Rai,56,Sehore,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,5,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sudesh Rai.jpg
Gopal Bhargava,73,Rehli,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,26,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Gopal Bhargava.jpg
Prahlad Lodhi,56,Pawai,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,59,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Prahlad Lodhi.jpg
Pradeep Lariya,59,Naryoli,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,135,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Pradeep Lariya.jpg
Jaivardhan Singh,39,Raghogarh,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,151,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Jaivardhan Singh.jpg
Hiralal Alawa,43,Manawar,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In Office,,,152,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Hiralal Alawa.jpg
Pratap Grewal,58,Sardarpur,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,158,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Pratap Grewal.jpg
Ajay Vishnoi,73,Patan,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,26,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Ajay Vishnoi.jpg
Surendra Patwa,61,Bhojpur,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,13,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Surendra Patwa.jpg
Nagendra Singh,82,Nagod,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,50,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Nagendra Singh.jpg
Prabhuram Choudhary,67,Sanchi,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,68,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Prabhuram Choudhary.jpg
Sunil Uikey,49,Junnardeo,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,120,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sunil Uikey.jpg
Rameshwar Sharma,55,Huzur,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,10,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Rameshwar Sharma.jpg
Sohanlal Balmik,62,Parasia,Male,Indian National Congress,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,136,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sohanlal Balmik.jpg
Vijaypal Singh,63,Sohagpur,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,30,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Vijaypal Singh.jpg
Divyaraj Singh,40,Sirmour,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In Office,,,35,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Divyaraj Singh.jpg
Brijendra Pratap Singh,58,Panna,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,132,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Brijendra Pratap Singh.jpg
Sachin Subhashchandra Yadav,43,Kasrawad,Male,Indian National Congress,Elected,Graduate,2023-12-03,In Office,,,114,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sachin Subhashchandra Yadav.jpg
Pradeep Patel,56,Mauganj,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,90,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Pradeep Patel.jpg
Sachin Birla,45,Badwaha,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,22,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Sachin Birla.jpg
Gayatri Raje Puar,60,Dewas,Female,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,5,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Gayatri Raje Puar.jpg
Ashok Ishwardas Rohani,60,Jabalpur Cantt.,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,42,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Ashok Ishwardas Rohani.jpg
Brajendra Singh Yadav,56,Mungaoli,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2023-12-03,In Office,,,14,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Brajendra Singh Yadav.jpg
Umakant Sharma,61,Sironj,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,139,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Umakant Sharma.jpg
Girish Gautam,72,Deotalab,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,20,63.55368996,,, Data corresponds to the period from 03-12-2023 to 06-08-2025. ,16,Madhya Pradesh,Girish Gautam.jpg
Narendra Singh Tomar,Info Not Available,Dimani,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,,,,,"This MLA has been the Speaker from 20 Dec 2023. We do not report the Speaker's participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Narendra Singh Tomar.jpg
Gautam Tetwal,Info Not Available,Sarangpur,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In Office,,,,,,,"This MLA has been a Minister from 25 Dec 2023. Ministers represent the government in debates, so we do not report their participation while they are in office. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 03-12-2023 to 06-08-2025. ",16,Madhya Pradesh,Gautam Tetwal.jpg
